Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:08:05	0.154	0.156	0.143	0.148	0.138	0.131	0.134	0.043	0.045	0.043	0.044	0.046	0.125	0.126	0.126	0.129	0.126	0.124	0.13	0.044	0.044	0.044	0.044	0.044	0.127	0.126	0.129	0.132	0.129	0.121	0.13	0.13	0.043	0.044	0.044	0.043	0.139	0.141	0.144	0.141	0.134	0.145	0.144	0.044	0.043	0.044	0.044	0.045	0.143	0.135	0.14	0.136	0.136	0.139	0.135	0.144	0.049	0.044	0.044	0.044	0.128	0.126	0.124	0.122	0.118	0.125	0.121	0.04	0.043	0.044	0.044	0.044	0.122	0.119	0.123	0.121	0.122	0.123	0.124	0.126	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.045	0.044	0.048	0.046
0:18:05	0.149	0.153	0.148	0.152	0.138	0.135	0.137	0.043	0.045	0.043	0.044	0.046	0.13	0.129	0.128	0.131	0.127	0.126	0.133	0.043	0.044	0.043	0.044	0.044	0.129	0.128	0.13	0.135	0.131	0.124	0.135	0.133	0.042	0.044	0.044	0.043	0.143	0.148	0.148	0.146	0.14	0.152	0.151	0.044	0.043	0.05	0.044	0.044	0.153	0.141	0.143	0.141	0.139	0.141	0.139	0.146	0.049	0.043	0.044	0.044	0.131	0.128	0.126	0.124	0.12	0.127	0.123	0.04	0.043	0.044	0.044	0.044	0.128	0.123	0.129	0.123	0.125	0.125	0.127	0.13	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.044	0.043	0.047	0.046
0:28:05	0.155	0.154	0.15	0.155	0.143	0.144	0.144	0.043	0.045	0.043	0.044	0.046	0.138	0.138	0.135	0.14	0.134	0.134	0.142	0.043	0.044	0.044	0.044	0.044	0.138	0.134	0.136	0.141	0.136	0.129	0.141	0.138	0.043	0.044	0.045	0.043	0.155	0.161	0.161	0.156	0.149	0.166	0.164	0.044	0.043	0.05	0.044	0.044	0.169	0.154	0.155	0.145	0.153	0.146	0.143	0.148	0.049	0.044	0.044	0.044	0.137	0.132	0.131	0.127	0.125	0.131	0.127	0.039	0.043	0.044	0.044	0.044	0.132	0.128	0.127	0.127	0.126	0.126	0.128	0.131	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.044	0.043	0.047	0.046
0:38:05	0.165	0.166	0.16	0.163	0.153	0.155	0.156	0.043	0.045	0.043	0.044	0.046	0.145	0.148	0.143	0.151	0.145	0.143	0.152	0.044	0.044	0.043	0.043	0.044	0.147	0.143	0.143	0.149	0.144	0.134	0.147	0.14	0.043	0.044	0.044	0.043	0.173	0.178	0.176	0.171	0.166	0.184	0.183	0.043	0.043	0.05	0.044	0.045	0.187	0.17	0.173	0.158	0.162	0.152	0.149	0.148	0.049	0.044	0.044	0.044	0.145	0.138	0.137	0.134	0.131	0.137	0.134	0.04	0.043	0.044	0.044	0.044	0.137	0.134	0.133	0.133	0.127	0.125	0.127	0.131	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.044	0.043	0.047	0.046
0:48:05	0.184	0.181	0.174	0.176	0.165	0.166	0.168	0.043	0.045	0.043	0.044	0.047	0.157	0.158	0.154	0.162	0.157	0.154	0.164	0.044	0.044	0.044	0.044	0.044	0.157	0.153	0.153	0.159	0.153	0.141	0.156	0.144	0.043	0.044	0.045	0.043	0.198	0.203	0.2	0.194	0.189	0.208	0.209	0.044	0.043	0.05	0.044	0.045	0.209	0.192	0.195	0.175	0.17	0.158	0.154	0.148	0.049	0.044	0.044	0.044	0.156	0.149	0.147	0.142	0.141	0.147	0.144	0.04	0.043	0.044	0.044	0.044	0.145	0.142	0.141	0.139	0.127	0.124	0.126	0.13	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.045	0.044	0.047	0.046
0:58:05	0.208	0.201	0.196	0.195	0.183	0.185	0.188	0.043	0.045	0.043	0.044	0.046	0.168	0.172	0.166	0.175	0.17	0.168	0.178	0.044	0.044	0.043	0.044	0.044	0.171	0.164	0.164	0.171	0.163	0.149	0.165	0.148	0.043	0.044	0.045	0.043	0.228	0.231	0.228	0.222	0.217	0.238	0.239	0.044	0.043	0.05	0.044	0.044	0.232	0.218	0.219	0.197	0.175	0.161	0.158	0.145	0.049	0.044	0.044	0.044	0.167	0.157	0.157	0.152	0.152	0.158	0.156	0.039	0.043	0.044	0.044	0.044	0.154	0.152	0.15	0.146	0.126	0.123	0.125	0.128	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.045	0.043	0.047	0.046
1:08:05	0.241	0.231	0.226	0.223	0.209	0.212	0.217	0.043	0.045	0.043	0.044	0.046	0.181	0.19	0.182	0.194	0.187	0.185	0.196	0.044	0.044	0.044	0.044	0.044	0.187	0.18	0.178	0.184	0.176	0.159	0.177	0.154	0.043	0.044	0.045	0.043	0.266	0.268	0.266	0.257	0.252	0.276	0.277	0.044	0.043	0.05	0.044	0.045	0.26	0.247	0.244	0.221	0.186	0.166	0.163	0.142	0.049	0.044	0.044	0.044	0.181	0.171	0.172	0.165	0.167	0.172	0.17	0.039	0.043	0.044	0.044	0.044	0.165	0.163	0.166	0.155	0.127	0.123	0.124	0.127	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.045	0.043	0.047	0.046
1:18:05	0.269	0.262	0.257	0.253	0.237	0.238	0.243	0.043	0.045	0.043	0.044	0.046	0.197	0.211	0.201	0.216	0.206	0.204	0.218	0.043	0.044	0.043	0.044	0.044	0.206	0.199	0.193	0.199	0.19	0.169	0.19	0.16	0.042	0.044	0.044	0.043	0.298	0.298	0.298	0.288	0.284	0.305	0.307	0.044	0.043	0.05	0.044	0.044	0.285	0.276	0.272	0.248	0.199	0.174	0.172	0.139	0.049	0.044	0.044	0.044	0.199	0.188	0.189	0.182	0.185	0.19	0.189	0.039	0.043	0.044	0.044	0.044	0.179	0.179	0.177	0.166	0.127	0.122	0.123	0.125	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.043	0.044	0.044	0.043	0.043	0.044	0.043	0.047	0.046
1:28:05	0.292	0.284	0.28	0.278	0.259	0.26	0.265	0.043	0.045	0.043	0.044	0.046	0.218	0.233	0.22	0.237	0.227	0.224	0.237	0.044	0.044	0.044	0.044	0.044	0.228	0.222	0.212	0.218	0.208	0.182	0.206	0.169	0.043	0.044	0.045	0.043	0.33	0.33	0.334	0.321	0.317	0.339	0.341	0.044	0.043	0.05	0.044	0.044	0.313	0.309	0.301	0.275	0.215	0.184	0.182	0.137	0.049	0.044	0.044	0.044	0.219	0.21	0.208	0.204	0.209	0.213	0.212	0.039	0.043	0.044	0.044	0.044	0.195	0.2	0.194	0.18	0.127	0.123	0.122	0.124	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.045	0.044	0.047	0.046
1:38:05	0.317	0.31	0.303	0.302	0.282	0.284	0.288	0.043	0.045	0.043	0.044	0.046	0.236	0.253	0.241	0.257	0.248	0.245	0.257	0.043	0.044	0.044	0.044	0.044	0.248	0.244	0.235	0.235	0.228	0.198	0.226	0.179	0.042	0.044	0.045	0.043	0.366	0.37	0.375	0.359	0.358	0.38	0.382	0.044	0.043	0.05	0.044	0.044	0.343	0.344	0.336	0.308	0.23	0.195	0.194	0.134	0.049	0.044	0.044	0.044	0.246	0.241	0.237	0.234	0.238	0.246	0.242	0.039	0.043	0.044	0.044	0.044	0.215	0.224	0.218	0.196	0.128	0.121	0.121	0.123	0.044	0.045	0.045	0.043	0.043	0.043	0.045	0.044	0.044	0.044	0.043	0.043	0.045	0.044	0.047	0.046
