Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:08:37	120	105	84	106	90	88	97	0	0	1	3	8	28	21	32	30	11	20	27	0	5	9	0	4	41	23	27	25	28	16	31	40	0	0	7	0	35	24	6	14	4	6	23	0	0	0	0	0	27	10	20	10	4	22	24	20	5	5	0	7	7	15	16	15	3	17	13	0	5	9	6	7	17	10	9	18	9	13	17	14	0	5	0	15	10	2	0	0	0	5	15	0	21	1	0	10
0:18:37	111	107	88	99	108	101	103	5	11	0	0	0	41	28	25	26	26	28	32	7	4	3	2	1	27	29	24	12	22	24	30	37	0	2	4	10	10	16	11	12	21	21	12	0	6	2	0	0	10	9	11	15	14	2	9	7	17	6	5	0	8	19	30	11	10	12	7	0	0	17	4	0	8	10	13	14	23	15	18	19	7	3	0	3	0	4	0	8	8	0	0	2	6	0	6	11
0:28:37	102	118	111	97	84	80	99	3	0	1	12	9	23	30	26	28	18	25	16	0	13	3	0	0	28	35	31	15	27	32	8	16	2	0	10	8	18	9	18	15	5	16	20	1	6	2	3	6	19	7	17	15	0	24	17	13	0	0	0	8	12	19	4	20	18	18	28	1	0	0	0	5	12	20	16	11	21	26	2	13	4	11	1	4	4	2	7	6	8	0	11	0	3	0	0	4
0:38:37	127	107	93	111	93	107	93	5	10	0	12	1	24	41	12	22	26	32	32	3	0	0	22	0	14	34	22	28	12	17	33	23	0	5	11	0	9	13	10	20	21	8	21	5	0	3	0	4	22	10	14	8	22	15	13	6	12	9	13	3	16	19	24	25	16	10	23	0	0	7	7	0	22	24	18	25	11	18	15	11	0	0	6	8	3	0	1	7	10	0	0	8	0	5	0	0
0:48:37	111	120	119	110	108	102	110	0	0	15	11	0	27	23	13	29	32	34	33	3	10	0	14	0	36	33	26	29	24	33	26	30	16	0	3	0	16	20	7	11	21	15	11	0	0	7	13	0	17	6	18	8	9	23	20	6	10	0	8	0	20	8	19	17	17	18	8	0	10	8	0	0	11	20	25	16	12	2	12	22	0	0	0	11	1	0	18	4	5	10	1	0	0	0	2	3
0:58:37	110	114	104	88	100	108	120	6	8	9	9	0	37	17	35	15	19	36	46	0	0	0	0	3	29	24	27	32	28	25	35	16	6	0	0	10	24	12	10	21	26	18	8	1	6	4	7	0	25	3	17	6	11	14	12	22	2	4	3	3	23	21	19	10	12	13	9	16	6	7	10	1	10	6	19	2	11	4	18	21	4	2	2	0	9	12	6	0	0	8	9	0	6	0	3	3
1:08:37	115	133	111	121	113	109	107	9	10	9	11	7	22	19	27	29	23	33	29	0	0	0	8	9	35	26	23	34	38	24	36	24	0	10	10	6	15	8	11	8	10	22	14	0	10	3	0	0	15	20	11	16	11	14	13	9	1	0	4	7	7	9	8	17	19	15	6	0	9	5	0	0	13	21	24	12	19	13	15	12	10	0	4	5	0	0	6	0	0	2	11	12	2	0	7	0
1:18:37	103	127	98	118	105	96	84	0	2	0	12	10	18	27	37	28	32	8	18	3	4	0	0	0	20	26	29	29	23	18	36	21	17	0	5	8	10	8	7	24	20	11	25	7	0	0	21	4	9	17	24	20	6	31	12	7	0	0	8	3	11	33	9	25	10	9	8	0	15	16	8	0	12	15	12	15	7	10	10	2	8	6	4	4	1	4	1	16	1	9	0	15	0	8	14	6
1:28:37	114	132	110	125	85	96	114	3	5	12	0	2	27	26	28	32	29	27	35	0	16	0	6	12	35	35	28	19	29	22	25	33	5	0	9	7	15	8	18	5	15	17	3	1	10	0	3	0	18	14	17	9	11	21	21	25	0	0	0	3	7	8	10	21	24	7	13	0	6	3	10	0	12	10	10	28	7	24	19	6	0	3	0	0	8	1	12	0	0	3	0	1	0	0	2	0
1:38:37	118	111	111	111	118	104	103	0	0	0	8	0	29	22	21	32	29	32	28	11	4	0	12	8	28	39	26	23	33	42	31	22	1	0	0	10	25	15	12	26	28	16	12	4	0	0	11	0	1	18	13	0	7	6	4	10	9	5	0	0	12	9	9	23	27	18	15	0	18	0	0	0	15	11	11	15	12	14	9	16	2	0	3	11	0	1	0	14	0	4	0	0	0	9	0	11
