Code	SampleName
A1	T7-C2-Lysis (1:10) 0 uM 1
A2	T7-C2-Lysis (1:10) 0 uM 2
A3	T7-C2-Lysis (1:10) 0 uM 3
A4	T7-C2-Lysis (1:10) 100 uM 1 
A5	T7-C2-Lysis (1:10) 100 uM 2 
A6	T7-C2-Lysis (1:10) 100 uM 3
A7	T7-C2-Lysis (1:10) 250 uM 1
A8	T7-C2-Lysis (1:10) 250 uM 2
A9	T7-C2-Lysis (1:10) 250 uM 3
A10	T7-C2-Lysis (1:10) 500 uM 1
A11	T7-C2-Lysis (1:10) 500 uM 2
A12	T7-C2-Lysis (1:10) 500 uM 3
B1	T7-C11-Lysis (1:10) 0 uM 1
B2	T7-C11-Lysis (1:10) 0 uM 2
B3	T7-C11-Lysis (1:10) 0 uM 3
B4	T7-C11-Lysis (1:10) 100 uM 1
B5	T7-C11-Lysis (1:10) 100 uM 2
B6	T7-C11-Lysis (1:10) 100 uM 3
B7	T7-C11-Lysis (1:10) 250 uM 1
B8	T7-C11-Lysis (1:10) 250 uM 2
B9	T7-C11-Lysis (1:10) 250 uM 3
B10	T7-C11-Lysis (1:10) 500 uM 1
B11	T7-C11-Lysis (1:10) 500 uM 2
B12	T7-C11-Lysis (1:10) 500 uM 3
C1	T7-RFP-1 (1:10) 0 uM 1
C2	T7-RFP-1 (1:10) 0 uM 2
C3	T7-RFP-1 (1:10) 0 uM 3
C4	T7-RFP-1 (1:10) 100 uM 1
C5	T7-RFP-1 (1:10) 100 uM 2
C6	T7-RFP-1 (1:10) 100 uM 3
C7	T7-RFP-1 (1:10) 250 uM 1
C8	T7-RFP-1 (1:10) 250 uM 2
C9	T7-RFP-1 (1:10) 250 uM 3
C10	T7-RFP-1 (1:10) 500 uM 1
C11	T7-RFP-1 (1:10) 500 uM 2
C12	T7-RFP-1 (1:10) 500 uM 3
D1	T7-C2-Lysis (1:20) 0 uM 1
D2	T7-C2-Lysis (1:20) 0 uM 2
D3	T7-C2-Lysis (1:20) 0 uM 3
D4	T7-C2-Lysis (1:20) 100 uM 1
D5	T7-C2-Lysis (1:20) 100 uM 2
D6	T7-C2-Lysis (1:20) 100 uM 3
D7	T7-C2-Lysis (1:20) 250 uM 1
D8	T7-C2-Lysis (1:20) 250 uM 2
D9	T7-C2-Lysis (1:20) 250 uM 3
D10	T7-C2-Lysis (1:20) 500 uM 1
D11	T7-C2-Lysis (1:20) 500 uM 2
D12	T7-C2-Lysis (1:20) 500 uM 3
E1	T7-C11-Lysis (1:20) 0 uM 1
E2	T7-C11-Lysis (1:20) 0 uM 2
E3	T7-C11-Lysis (1:20) 0 uM 3
E4	T7-C11-Lysis (1:20) 100 uM 1
E5	T7-C11-Lysis (1:20) 100 uM 2
E6	T7-C11-Lysis (1:20) 100 uM 3
E7	T7-C11-Lysis (1:20) 250 uM 1
E8	T7-C11-Lysis (1:20) 250 uM 2
E9	T7-C11-Lysis (1:20) 250 uM 3
E10	T7-C11-Lysis (1:20) 500 uM 1
E11	T7-C11-Lysis (1:20) 500 uM 2
E12	T7-C11-Lysis (1:20) 500 uM 3
F1	T7-RFP-1 (1:20) 0 uM 1
F2	T7-RFP-1 (1:20) 0 uM 2
F3	T7-RFP-1 (1:20) 0 uM 3
F4	T7-RFP-1 (1:20) 100 uM 1
F5	T7-RFP-1 (1:20) 100 uM 2
F6	T7-RFP-1 (1:20) 100 uM 3 
F7	T7-RFP-1 (1:20) 250 uM 1
F8	T7-RFP-1 (1:20) 250 uM 2
F9	T7-RFP-1 (1:20) 250 uM 3
F10	T7-RFP-1 (1:20) 500 uM 1
F11	T7-RFP-1 (1:20) 500 uM 2
F12	T7-RFP-1 (1:20) 500 uM 3
