Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
0:08:05	0.277	0.271	0.268	0.275	0.282	0.288	0.266	0.264	0.275	0.262	0.27	0.274	0.552	0.541	0.542	0.543	0.546	0.533	0.541	0.529	0.537	0.535	0.53	0.546	0.481	0.463	0.458	0.449	0.449	0.442	0.443	0.444	0.445	0.463	0.453	0.475	0.177	0.171	0.178	0.178	0.176	0.181	0.177	0.188	0.179	0.185	0.177	0.184	0.323	0.315	0.329	0.326	0.334	0.318	0.324	0.332	0.329	0.27	0.249	0.327	0.344	0.316	0.341	0.328	0.335	0.345	0.326	0.303	0.314	0.308	0.313	0.351
0:18:05	0.321	0.31	0.31	0.317	0.323	0.332	0.305	0.303	0.315	0.302	0.311	0.316	0.607	0.579	0.579	0.581	0.585	0.571	0.581	0.568	0.579	0.578	0.572	0.589	0.53	0.504	0.499	0.492	0.491	0.486	0.486	0.489	0.491	0.506	0.494	0.517	0.205	0.199	0.208	0.207	0.205	0.211	0.205	0.218	0.21	0.219	0.208	0.218	0.361	0.358	0.373	0.37	0.378	0.362	0.369	0.378	0.373	0.28	0.27	0.374	0.392	0.357	0.379	0.368	0.374	0.385	0.371	0.348	0.366	0.35	0.362	0.394
0:28:05	0.366	0.355	0.356	0.362	0.368	0.382	0.349	0.347	0.361	0.345	0.357	0.362	0.648	0.629	0.629	0.631	0.635	0.623	0.632	0.621	0.635	0.632	0.627	0.641	0.574	0.539	0.534	0.53	0.528	0.524	0.523	0.525	0.529	0.542	0.528	0.558	0.236	0.23	0.239	0.239	0.239	0.243	0.237	0.252	0.243	0.25	0.24	0.253	0.399	0.406	0.425	0.422	0.432	0.414	0.423	0.432	0.426	0.297	0.285	0.424	0.448	0.409	0.433	0.424	0.429	0.439	0.434	0.395	0.411	0.416	0.401	0.445
0:38:05	0.418	0.414	0.405	0.414	0.418	0.442	0.4	0.398	0.415	0.393	0.401	0.415	0.676	0.651	0.65	0.653	0.656	0.652	0.658	0.648	0.662	0.657	0.651	0.662	0.632	0.581	0.573	0.571	0.569	0.561	0.565	0.563	0.568	0.583	0.571	0.615	0.272	0.264	0.275	0.277	0.274	0.282	0.274	0.29	0.28	0.287	0.278	0.288	0.436	0.459	0.474	0.476	0.484	0.477	0.476	0.483	0.481	0.324	0.304	0.469	0.511	0.483	0.504	0.487	0.504	0.508	0.477	0.432	0.451	0.457	0.44	0.509
0:48:05	0.479	0.468	0.465	0.475	0.478	0.501	0.464	0.459	0.478	0.458	0.467	0.481	0.706	0.678	0.678	0.681	0.684	0.679	0.689	0.677	0.694	0.688	0.685	0.693	0.662	0.619	0.613	0.613	0.614	0.611	0.606	0.61	0.617	0.626	0.606	0.64	0.31	0.303	0.315	0.319	0.317	0.323	0.315	0.333	0.324	0.329	0.319	0.33	0.452	0.476	0.501	0.506	0.514	0.509	0.505	0.511	0.513	0.344	0.324	0.49	0.551	0.528	0.55	0.532	0.55	0.552	0.52	0.481	0.506	0.499	0.488	0.549
0:58:05	0.512	0.502	0.497	0.506	0.51	0.534	0.499	0.494	0.513	0.495	0.504	0.516	0.738	0.709	0.709	0.713	0.715	0.711	0.718	0.707	0.723	0.717	0.714	0.721	0.694	0.646	0.637	0.64	0.641	0.634	0.634	0.634	0.64	0.649	0.631	0.673	0.351	0.344	0.357	0.361	0.359	0.366	0.358	0.376	0.367	0.37	0.36	0.371	0.461	0.501	0.523	0.535	0.541	0.538	0.535	0.541	0.541	0.356	0.333	0.506	0.585	0.566	0.59	0.572	0.588	0.591	0.574	0.513	0.538	0.552	0.517	0.582
1:08:05	0.536	0.528	0.522	0.533	0.536	0.562	0.527	0.521	0.539	0.52	0.529	0.544	0.761	0.738	0.737	0.741	0.741	0.74	0.748	0.737	0.751	0.747	0.742	0.747	0.727	0.676	0.67	0.673	0.673	0.668	0.667	0.668	0.674	0.681	0.665	0.705	0.39	0.386	0.399	0.405	0.399	0.409	0.399	0.419	0.412	0.413	0.402	0.412	0.475	0.527	0.556	0.572	0.58	0.576	0.575	0.575	0.583	0.361	0.349	0.532	0.633	0.613	0.641	0.623	0.638	0.64	0.603	0.54	0.566	0.582	0.545	0.628
1:18:05	0.579	0.565	0.559	0.573	0.578	0.607	0.563	0.559	0.57	0.555	0.564	0.586	0.781	0.766	0.761	0.77	0.77	0.77	0.774	0.764	0.777	0.773	0.768	0.775	0.752	0.708	0.703	0.705	0.705	0.702	0.698	0.702	0.707	0.712	0.696	0.735	0.438	0.436	0.451	0.457	0.447	0.46	0.448	0.47	0.464	0.461	0.451	0.461	0.483	0.538	0.57	0.593	0.599	0.597	0.596	0.599	0.606	0.371	0.351	0.537	0.654	0.645	0.668	0.651	0.667	0.666	0.632	0.564	0.59	0.61	0.57	0.655
1:28:05	0.618	0.606	0.598	0.615	0.615	0.645	0.604	0.599	0.605	0.594	0.604	0.624	0.795	0.788	0.788	0.793	0.792	0.793	0.8	0.789	0.803	0.797	0.793	0.798	0.778	0.736	0.729	0.734	0.733	0.733	0.725	0.731	0.735	0.739	0.724	0.757	0.471	0.473	0.49	0.496	0.487	0.497	0.485	0.508	0.505	0.501	0.492	0.491	0.476	0.54	0.573	0.597	0.607	0.612	0.604	0.602	0.621	0.379	0.368	0.538	0.682	0.68	0.707	0.684	0.703	0.702	0.658	0.587	0.611	0.634	0.59	0.693
1:38:05	0.64	0.632	0.622	0.64	0.638	0.67	0.627	0.622	0.625	0.614	0.626	0.645	0.812	0.806	0.805	0.812	0.81	0.812	0.822	0.814	0.824	0.82	0.821	0.817	0.798	0.759	0.755	0.759	0.759	0.756	0.75	0.756	0.758	0.763	0.748	0.777	0.494	0.499	0.514	0.521	0.513	0.523	0.509	0.531	0.529	0.524	0.515	0.514	0.47	0.541	0.579	0.607	0.62	0.618	0.614	0.616	0.637	0.392	0.369	0.537	0.714	0.713	0.737	0.715	0.733	0.73	0.681	0.605	0.63	0.657	0.606	0.724
1:48:05	0.667	0.658	0.648	0.667	0.666	0.694	0.654	0.647	0.644	0.636	0.651	0.669	0.829	0.825	0.824	0.83	0.828	0.832	0.842	0.83	0.845	0.841	0.834	0.833	0.814	0.778	0.775	0.778	0.779	0.775	0.77	0.775	0.781	0.783	0.769	0.796	0.515	0.52	0.537	0.544	0.534	0.544	0.528	0.552	0.546	0.543	0.537	0.534	0.465	0.545	0.586	0.616	0.629	0.63	0.624	0.625	0.65	0.403	0.384	0.541	0.741	0.744	0.766	0.741	0.763	0.756	0.701	0.622	0.645	0.676	0.623	0.754
1:58:05	0.696	0.687	0.676	0.698	0.693	0.721	0.682	0.675	0.663	0.661	0.674	0.695	0.85	0.842	0.841	0.849	0.848	0.851	0.854	0.842	0.859	0.852	0.848	0.849	0.829	0.796	0.791	0.795	0.795	0.793	0.787	0.793	0.798	0.799	0.786	0.81	0.538	0.541	0.56	0.564	0.554	0.563	0.548	0.569	0.559	0.559	0.553	0.55	0.465	0.549	0.588	0.621	0.635	0.638	0.631	0.631	0.658	0.419	0.413	0.543	0.766	0.77	0.792	0.765	0.789	0.782	0.717	0.632	0.661	0.691	0.636	0.781
2:08:05	0.72	0.713	0.702	0.726	0.721	0.745	0.707	0.7	0.681	0.683	0.704	0.718	0.863	0.861	0.858	0.866	0.862	0.865	0.869	0.858	0.872	0.866	0.862	0.865	0.843	0.813	0.806	0.811	0.812	0.808	0.803	0.809	0.814	0.814	0.801	0.826	0.571	0.576	0.594	0.598	0.592	0.6	0.578	0.602	0.588	0.589	0.587	0.573	0.462	0.55	0.591	0.627	0.638	0.644	0.634	0.632	0.665	0.429	0.4	0.542	0.787	0.792	0.816	0.784	0.813	0.803	0.733	0.646	0.677	0.705	0.65	0.805
2:18:05	0.741	0.735	0.723	0.747	0.741	0.763	0.725	0.717	0.691	0.699	0.714	0.734	0.874	0.878	0.874	0.881	0.876	0.881	0.884	0.873	0.887	0.881	0.878	0.881	0.854	0.827	0.821	0.827	0.827	0.825	0.819	0.825	0.831	0.829	0.816	0.842	0.588	0.593	0.611	0.614	0.606	0.616	0.589	0.615	0.601	0.599	0.595	0.584	0.463	0.55	0.591	0.628	0.638	0.646	0.635	0.632	0.668	0.444	0.419	0.543	0.805	0.81	0.834	0.801	0.831	0.818	0.747	0.659	0.692	0.717	0.664	0.823
2:28:05	0.763	0.757	0.746	0.769	0.761	0.782	0.743	0.736	0.699	0.71	0.728	0.745	0.883	0.889	0.888	0.897	0.891	0.897	0.902	0.89	0.905	0.898	0.894	0.893	0.868	0.841	0.836	0.843	0.842	0.84	0.834	0.84	0.846	0.844	0.829	0.858	0.611	0.618	0.636	0.637	0.63	0.639	0.611	0.634	0.611	0.616	0.615	0.599	0.459	0.551	0.589	0.628	0.636	0.645	0.635	0.63	0.666	0.482	0.417	0.542	0.822	0.826	0.838	0.815	0.846	0.833	0.761	0.671	0.704	0.73	0.674	0.841
2:38:05	0.782	0.776	0.764	0.786	0.779	0.798	0.76	0.752	0.706	0.724	0.738	0.754	0.892	0.901	0.901	0.91	0.903	0.911	0.917	0.905	0.918	0.912	0.908	0.904	0.879	0.858	0.85	0.859	0.86	0.856	0.85	0.856	0.861	0.861	0.844	0.872	0.63	0.64	0.655	0.655	0.649	0.659	0.626	0.65	0.619	0.626	0.626	0.61	0.457	0.549	0.586	0.626	0.635	0.643	0.634	0.628	0.665	0.487	0.426	0.539	0.84	0.84	0.853	0.828	0.86	0.846	0.775	0.68	0.714	0.743	0.683	0.855
2:48:05	0.796	0.794	0.78	0.803	0.795	0.811	0.773	0.766	0.714	0.73	0.748	0.762	0.899	0.908	0.909	0.919	0.911	0.92	0.926	0.916	0.929	0.921	0.918	0.913	0.886	0.87	0.866	0.872	0.871	0.87	0.862	0.869	0.874	0.873	0.86	0.88	0.649	0.658	0.674	0.673	0.665	0.676	0.638	0.663	0.63	0.635	0.635	0.619	0.455	0.546	0.581	0.624	0.632	0.64	0.631	0.623	0.66	0.493	0.444	0.536	0.855	0.853	0.866	0.843	0.875	0.858	0.785	0.688	0.721	0.752	0.69	0.87
2:58:05	0.812	0.806	0.795	0.817	0.809	0.83	0.784	0.777	0.717	0.738	0.757	0.769	0.907	0.917	0.916	0.925	0.919	0.928	0.933	0.923	0.936	0.928	0.925	0.92	0.891	0.88	0.877	0.881	0.88	0.879	0.871	0.879	0.884	0.88	0.87	0.887	0.666	0.677	0.694	0.689	0.682	0.692	0.652	0.676	0.641	0.645	0.645	0.63	0.449	0.542	0.575	0.62	0.628	0.635	0.629	0.619	0.657	0.499	0.454	0.531	0.87	0.865	0.878	0.856	0.887	0.87	0.793	0.695	0.73	0.76	0.698	0.883
3:08:05	0.827	0.821	0.808	0.831	0.821	0.847	0.795	0.789	0.72	0.744	0.76	0.777	0.914	0.923	0.922	0.932	0.927	0.935	0.94	0.931	0.941	0.934	0.932	0.928	0.899	0.885	0.885	0.888	0.888	0.886	0.878	0.887	0.89	0.889	0.879	0.894	0.684	0.694	0.707	0.705	0.698	0.708	0.662	0.689	0.654	0.655	0.656	0.637	0.439	0.537	0.571	0.615	0.624	0.632	0.624	0.616	0.651	0.502	0.465	0.526	0.881	0.878	0.893	0.868	0.902	0.882	0.8	0.705	0.736	0.767	0.706	0.896
3:18:05	0.844	0.836	0.824	0.848	0.837	0.86	0.807	0.799	0.727	0.751	0.771	0.785	0.919	0.93	0.928	0.938	0.935	0.942	0.946	0.938	0.949	0.942	0.938	0.934	0.909	0.892	0.891	0.895	0.894	0.892	0.884	0.893	0.897	0.897	0.886	0.902	0.7	0.71	0.725	0.723	0.72	0.725	0.674	0.706	0.664	0.668	0.668	0.647	0.433	0.535	0.567	0.609	0.617	0.625	0.619	0.612	0.646	0.5	0.463	0.52	0.892	0.891	0.905	0.878	0.914	0.895	0.809	0.713	0.74	0.776	0.715	0.909
3:28:05	0.859	0.85	0.838	0.86	0.85	0.871	0.818	0.811	0.728	0.759	0.777	0.795	0.923	0.936	0.934	0.945	0.94	0.949	0.954	0.94	0.956	0.948	0.942	0.94	0.915	0.899	0.896	0.902	0.902	0.9	0.891	0.899	0.904	0.902	0.892	0.91	0.715	0.728	0.746	0.746	0.743	0.746	0.688	0.721	0.669	0.679	0.682	0.651	0.428	0.531	0.563	0.601	0.612	0.62	0.611	0.605	0.639	0.498	0.462	0.515	0.898	0.901	0.915	0.886	0.924	0.904	0.817	0.719	0.748	0.784	0.72	0.918
3:38:05	0.87	0.864	0.85	0.872	0.861	0.88	0.831	0.825	0.731	0.773	0.787	0.809	0.929	0.94	0.939	0.949	0.945	0.953	0.959	0.946	0.961	0.953	0.947	0.944	0.918	0.906	0.903	0.91	0.909	0.908	0.9	0.906	0.91	0.91	0.898	0.917	0.73	0.749	0.769	0.764	0.767	0.767	0.706	0.74	0.675	0.69	0.689	0.655	0.417	0.527	0.561	0.594	0.606	0.613	0.604	0.599	0.632	0.495	0.459	0.505	0.906	0.907	0.922	0.891	0.932	0.91	0.823	0.725	0.752	0.79	0.726	0.924
