Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
0:08:37	11	8	15	20	0	5	8	30	31	17	11	6	24	12	25	50	14	9	10	8	0	0	20	18	27	22	0	39	31	24	10	25	25	20	44	6	11	4	9	15	0	0	5	20	5	31	19	15	0	0	21	17	0	11	0	32	17	17	8	17	32	0	0	29	11	14	28	0	24	19	47	6
0:18:37	9	0	3	5	0	44	21	21	17	26	14	11	27	27	22	6	20	19	15	0	13	19	15	8	29	23	25	25	15	34	18	26	29	4	16	29	9	2	7	7	7	26	27	0	29	15	7	27	17	3	4	14	0	0	25	18	18	0	19	2	0	27	20	16	32	9	27	15	25	23	13	8
0:28:37	18	8	8	15	0	9	13	9	15	25	28	15	12	12	29	10	5	24	5	5	26	42	33	10	33	24	37	32	23	14	35	23	25	26	9	24	4	21	24	16	2	0	26	11	10	15	8	15	12	27	0	4	28	21	0	1	0	12	12	6	21	7	18	24	15	5	13	2	34	10	30	8
0:38:37	10	12	12	28	8	33	14	10	17	19	23	22	33	7	15	27	18	12	21	20	19	0	10	35	11	26	21	36	20	28	16	36	23	24	31	25	2	9	29	6	22	24	18	29	4	0	13	7	8	13	14	11	0	12	20	20	30	23	0	2	25	8	21	39	29	27	5	13	0	17	2	0
0:48:37	13	3	20	22	0	25	0	0	6	17	8	3	14	10	22	8	10	0	28	0	8	18	18	8	23	35	0	27	32	16	17	46	16	26	22	5	11	9	19	15	10	10	0	12	18	8	9	0	22	4	27	0	23	20	7	15	4	9	14	0	19	24	8	26	9	8	13	21	40	15	18	37
0:58:37	17	14	11	0	0	0	20	11	26	14	19	21	14	15	23	0	14	16	21	12	0	0	7	3	18	18	23	31	13	22	25	28	17	23	20	32	16	7	6	7	31	14	7	24	11	0	36	16	0	6	9	32	24	24	23	3	18	7	7	17	10	14	33	30	11	32	23	18	13	6	26	24
1:08:37	0	17	0	13	5	22	26	8	23	9	19	33	0	19	21	19	0	4	14	6	13	27	21	14	13	19	37	30	38	12	18	30	32	54	28	20	17	6	3	16	0	27	0	20	21	16	17	9	7	8	21	0	21	18	12	31	25	0	21	12	13	19	7	17	24	31	12	3	0	25	25	9
1:18:37	16	27	17	18	16	13	19	9	21	20	17	8	3	21	19	26	0	16	7	5	6	16	29	6	36	20	28	39	40	38	26	26	27	3	16	37	18	11	8	0	36	0	4	20	0	17	5	16	9	0	12	6	8	8	16	39	29	10	4	6	0	22	34	17	38	38	15	21	18	12	29	25
1:28:37	25	0	11	19	25	24	17	15	12	1	10	26	10	15	2	15	1	6	20	1	11	36	1	2	11	14	2	11	23	27	25	21	30	0	12	37	25	5	24	15	19	7	9	26	19	21	7	32	21	15	15	14	17	2	0	5	33	18	21	17	11	24	41	18	0	23	25	6	26	34	26	0
1:38:37	7	15	3	22	26	3	16	23	10	6	0	0	0	10	2	19	12	21	37	21	23	10	10	0	35	26	29	34	26	27	23	6	33	9	24	64	8	23	29	21	11	20	9	5	12	11	11	32	13	14	9	19	3	2	9	11	5	14	1	22	36	10	4	22	30	24	12	8	24	23	18	5
