Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
00:00:00	0.2661	0.24	0.2298	0.4425	0.5155	0.2467	0.3342	0.4604	0.2352	0.7739	0.3905	0.3601	0.2453	0.3635	0.3711	0.341	0.4831	0.3185	0.4007	0.2392	0.2579	0.6256	0.3157	0.2845	0.5554	0.3759	0.4178	0.501	0.4002	0.4391	0.3965	0.5318	0.5748	0.8684	0.5984	0.5099	0.6372	0.3932	0.5492	0.698	0.6834	0.4514	0.5647	0.7375	0.5831	0.7636	0.5306	0.4042	0.6889	0.417	0.3803	0.2704	0.433	0.3072	0.542	0.706	0.5268	0.8349	0.608	0.6076	0.6182	0.3503	0.4212	0.4559	0.5207	0.5136	0.3546	0.5616	0.5816	0.8385	0.3924	0.4107	0.4654	0.5248	0.4186	0.4734	0.5723	0.4649	0.653	0.5017	0.5884	0.5198	0.6317	0.4396	0.421	0.2467	0.6887	0.4055	0.605	0.3948	0.6699	0.6388	0.7827	0.3648	0.5319	0.5423
00:10:01	0.3157	0.28	0.2672	0.4518	0.5278	0.2708	0.3528	0.4785	0.2359	0.8243	0.3737	0.4146	0.2899	0.3956	0.4046	0.3589	0.5576	0.3508	0.4493	0.2575	0.2671	0.7215	0.3315	0.2699	0.4415	0.3981	0.396	0.4283	0.3688	0.425	0.3907	0.4613	0.4891	0.8962	0.5984	0.4749	0.5467	0.4103	0.5173	0.6929	0.6717	0.5103	0.6211	0.7398	0.5367	0.8156	0.5361	0.4566	0.5865	0.4282	0.3937	0.285	0.3771	0.3156	0.4691	0.6066	0.4302	0.7373	0.5359	0.5889	0.5587	0.3771	0.4069	0.4251	0.4622	0.4842	0.359	0.4767	0.5393	0.8666	0.4053	0.425	0.3418	0.388	0.2943	0.3369	0.3994	0.3616	0.4754	0.3915	0.447	0.4057	0.4762	0.4452	0.3773	0.2649	0.644	0.3553	0.5051	0.3625	0.5313	0.5295	0.7404	0.3497	0.4642	0.4694
00:20:04	0.3952	0.3322	0.3289	0.4869	0.5765	0.3379	0.3983	0.5188	0.294	0.8342	0.397	0.4323	0.3572	0.4451	0.428	0.3951	0.5031	0.3923	0.468	0.2915	0.2953	0.7443	0.3455	0.292	0.5137	0.4378	0.3866	0.4445	0.3961	0.4261	0.4183	0.4783	0.4768	0.8969	0.5624	0.4949	0.6201	0.4537	0.5104	0.6259	0.6368	0.5031	0.625	0.7174	0.5454	0.7752	0.504	0.4549	0.5299	0.3762	0.3859	0.3025	0.3631	0.3244	0.4623	0.5249	0.492	0.5715	0.5872	0.616	0.5693	0.4077	0.3935	0.4304	0.4851	0.4893	0.3728	0.5118	0.5272	0.8794	0.4155	0.4611	0.3122	0.318	0.321	0.3083	0.3378	0.432	0.3533	0.3823	0.398	0.3806	0.3984	0.4609	0.3926	0.2868	0.5884	0.3678	0.5104	0.3816	0.4519	0.4708	0.6324	0.3379	0.4885	0.4792
00:30:07	0.4629	0.3971	0.3987	0.5231	0.6111	0.4095	0.4541	0.5416	0.3673	0.846	0.4126	0.4998	0.4144	0.4617	0.4538	0.4261	0.5375	0.4131	0.5084	0.335	0.3349	0.6875	0.3592	0.3434	0.4349	0.3931	0.4215	0.4139	0.4303	0.4459	0.4289	0.4316	0.5018	0.8801	0.5774	0.5016	0.503	0.4799	0.5165	0.6893	0.67	0.5166	0.6198	0.7303	0.5246	0.7857	0.5555	0.4396	0.5313	0.4334	0.3785	0.3261	0.3897	0.3214	0.4936	0.5904	0.4201	0.555	0.4947	0.6373	0.583	0.4203	0.427	0.4495	0.4472	0.4829	0.3946	0.4458	0.52	0.8847	0.4343	0.4915	0.3489	0.3456	0.3414	0.3512	0.3775	0.3713	0.339	0.3862	0.4443	0.4027	0.4098	0.4766	0.3914	0.3187	0.5943	0.3686	0.5139	0.3899	0.5071	0.5197	0.5571	0.354	0.4635	0.479
00:40:09	0.5306	0.4553	0.4382	0.4453	0.5944	0.4762	0.5044	0.5854	0.436	0.8391	0.4676	0.5409	0.4388	0.5131	0.4777	0.4656	0.5752	0.4512	0.5015	0.356	0.3643	0.632	0.3707	0.3993	0.547	0.482	0.4901	0.4751	0.449	0.4759	0.4719	0.5036	0.513	0.8636	0.5892	0.5371	0.6271	0.4984	0.5352	0.6961	0.6695	0.5744	0.6338	0.7341	0.561	0.7775	0.5077	0.4418	0.5677	0.3641	0.3768	0.3524	0.3706	0.3284	0.5176	0.6051	0.4638	0.6208	0.5967	0.6147	0.6014	0.4394	0.3784	0.4559	0.4675	0.4894	0.4141	0.5225	0.5257	0.8841	0.4709	0.5216	0.3649	0.3584	0.2885	0.3793	0.4088	0.3948	0.3763	0.3972	0.4761	0.4044	0.4617	0.4899	0.3903	0.3442	0.5953	0.3788	0.5168	0.4035	0.5202	0.5186	0.5513	0.381	0.4651	0.4966
00:50:11	0.5753	0.5132	0.4899	0.608	0.6651	0.5041	0.5397	0.6041	0.4647	0.841	0.3986	0.5813	0.4664	0.5193	0.5035	0.506	0.5624	0.447	0.5182	0.369	0.382	0.6983	0.3554	0.4555	0.3997	0.4746	0.452	0.4477	0.4772	0.5004	0.4396	0.4386	0.5194	0.8588	0.6183	0.5066	0.4964	0.5454	0.5339	0.681	0.6693	0.5612	0.6593	0.7503	0.5336	0.7884	0.5756	0.5381	0.5727	0.4427	0.403	0.3733	0.385	0.3533	0.5202	0.6208	0.4535	0.6163	0.4692	0.6264	0.5991	0.4482	0.4225	0.4721	0.4926	0.4626	0.4214	0.4519	0.5426	0.8915	0.4903	0.5252	0.3437	0.3476	0.2994	0.3804	0.3776	0.4035	0.4079	0.3942	0.4706	0.4153	0.466	0.4976	0.378	0.3822	0.6166	0.4004	0.5334	0.4208	0.53	0.5264	0.625	0.4055	0.518	0.5075
01:00:13	0.6249	0.5677	0.4877	0.5002	0.6516	0.5899	0.5744	0.6126	0.5071	0.8604	0.4771	0.5975	0.4854	0.5513	0.5171	0.5535	0.6028	0.4852	0.5642	0.4028	0.4038	0.7265	0.4117	0.4968	0.5427	0.5093	0.5206	0.4553	0.4719	0.5001	0.4838	0.5421	0.5382	0.8708	0.6376	0.581	0.6482	0.5628	0.5763	0.6797	0.697	0.5957	0.681	0.7748	0.5749	0.7916	0.5172	0.5506	0.5885	0.3951	0.3914	0.3972	0.3947	0.3688	0.5273	0.6482	0.4676	0.6504	0.6196	0.6682	0.5932	0.4762	0.4023	0.4865	0.4918	0.5405	0.4407	0.5426	0.5845	0.9085	0.493	0.5475	0.3609	0.363	0.3375	0.4116	0.3781	0.4072	0.4067	0.4087	0.4571	0.4189	0.4581	0.4864	0.4158	0.3961	0.6371	0.4131	0.5424	0.4393	0.5326	0.537	0.6709	0.4342	0.5289	0.5237
01:10:15	0.6532	0.5543	0.5077	0.6019	0.703	0.572	0.6019	0.674	0.5385	0.8779	0.4087	0.5138	0.5088	0.5456	0.5455	0.5673	0.6057	0.464	0.5613	0.4199	0.4237	0.7099	0.3988	0.4656	0.3844	0.4325	0.4888	0.4949	0.4635	0.5054	0.4437	0.4743	0.5521	0.8997	0.655	0.511	0.5085	0.5511	0.5581	0.697	0.7117	0.6523	0.705	0.7892	0.6032	0.773	0.6024	0.5358	0.6389	0.4172	0.4113	0.404	0.3798	0.355	0.5419	0.6282	0.4891	0.6401	0.5113	0.6932	0.6045	0.4625	0.4142	0.4935	0.4966	0.5385	0.4598	0.469	0.611	0.9213	0.4946	0.5694	0.3683	0.3793	0.3486	0.4027	0.4042	0.4235	0.4206	0.4065	0.4584	0.4281	0.4576	0.5546	0.4191	0.422	0.6235	0.4343	0.5583	0.4542	0.5382	0.5631	0.6846	0.4508	0.5158	0.5476
01:20:17	0.6805	0.5385	0.6029	0.5425	0.7037	0.5858	0.6401	0.6647	0.5545	0.8645	0.4462	0.6692	0.5272	0.5927	0.5485	0.607	0.6078	0.4551	0.5838	0.4461	0.4361	0.7343	0.4231	0.448	0.5252	0.4611	0.5291	0.4974	0.4153	0.5904	0.4911	0.5531	0.5657	0.9303	0.6844	0.6124	0.6337	0.5734	0.5968	0.7349	0.7213	0.6932	0.7222	0.805	0.6413	0.7859	0.5835	0.5797	0.6563	0.399	0.4175	0.4062	0.3874	0.3957	0.5925	0.6318	0.4935	0.6703	0.6531	0.6045	0.6335	0.4572	0.3946	0.4874	0.5179	0.5334	0.4404	0.5574	0.6236	0.9298	0.5263	0.5688	0.3667	0.395	0.3532	0.3964	0.4347	0.4111	0.4531	0.3933	0.4187	0.4394	0.4581	0.5598	0.4184	0.4223	0.6368	0.4354	0.5625	0.4553	0.5471	0.5422	0.7152	0.4774	0.5337	0.559
01:30:19	0.6718	0.5352	0.5243	0.6415	0.7267	0.6358	0.6338	0.6616	0.5754	0.8637	0.5693	0.5829	0.5227	0.5956	0.5664	0.6396	0.6497	0.5197	0.6016	0.4489	0.4588	0.7506	0.456	0.4417	0.3973	0.5162	0.5021	0.5004	0.4743	0.4383	0.4671	0.5034	0.5937	0.9365	0.7	0.618	0.5576	0.5804	0.5692	0.7195	0.7367	0.7062	0.7453	0.8147	0.6428	0.7971	0.6055	0.5312	0.6559	0.4189	0.4202	0.406	0.3565	0.3455	0.5964	0.6309	0.5077	0.6611	0.4973	0.7183	0.6511	0.4617	0.4545	0.522	0.5226	0.5407	0.4613	0.4825	0.6309	0.9271	0.5273	0.5817	0.3587	0.382	0.3596	0.3977	0.4327	0.4194	0.471	0.3941	0.4115	0.4289	0.4457	0.5761	0.4486	0.4358	0.6457	0.4524	0.5507	0.4614	0.5461	0.539	0.7195	0.4763	0.5471	0.5677
