Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
00:00:00	8	9	8	20	9	14	14	20	13	44	16	26	9	9	9	13	12	10	9	10	13	13	9	22	14	11	10	169	94	72	109	50	286	306	11	21	10	9	11	13	14	9	10	13	9	14	11	9	12	13	24	16	28	9	11	13	26	13	27	8	273	9	50	258	13	10	210	106	123	254	11	95	12	11	11	9	10	11	31	19	10	9	12	8	135	12	10	90	10	19	13	23	11	49	9	10
00:10:02	10	8	11	23	11	13	20	26	11	51	17	24	11	10	10	12	12	13	9	11	13	16	9	23	15	11	10	208	111	77	151	61	320	327	11	26	10	11	11	14	14	11	13	15	11	17	11	12	13	11	27	15	29	11	12	14	28	14	33	12	260	8	58	255	12	13	225	120	145	256	9	115	13	11	9	9	8	9	36	22	13	12	12	9	124	11	12	85	11	17	11	24	11	48	9	9
00:20:05	13	10	11	25	10	15	19	25	13	56	15	27	11	13	11	15	12	13	10	10	9	20	11	21	14	13	11	215	123	81	170	71	360	369	13	29	11	13	11	18	16	15	15	15	12	17	14	11	14	13	28	19	28	11	14	16	31	17	33	13	282	11	62	266	13	13	262	132	162	296	11	125	10	11	9	13	14	12	30	20	15	10	12	10	116	15	14	87	13	17	12	22	15	45	9	8
00:30:08	14	9	12	27	13	26	24	34	16	66	17	34	10	14	10	13	15	10	11	11	11	18	10	20	17	12	13	222	123	98	179	72	336	404	15	28	10	12	13	17	15	15	15	16	13	18	10	12	14	12	33	19	30	11	15	15	28	17	34	14	302	11	69	260	15	11	329	111	151	294	11	158	12	12	10	12	12	10	27	16	13	11	12	9	113	14	15	72	15	17	13	24	10	46	10	10
00:40:10	16	14	11	40	15	33	31	42	23	70	21	40	16	14	13	15	17	15	16	12	15	20	13	24	17	13	11	252	174	117	230	84	345	469	15	29	15	12	15	18	17	12	14	17	15	21	15	15	16	14	32	23	31	12	15	17	32	16	38	15	327	12	67	307	15	12	349	146	149	323	11	190	14	14	12	11	12	11	35	21	15	11	12	12	120	16	16	87	14	18	10	23	16	45	9	11
00:50:12	14	11	13	40	13	32	31	46	22	65	19	44	13	15	13	15	16	12	11	14	10	20	12	23	19	12	13	251	173	123	243	81	344	471	15	33	13	14	13	16	18	17	19	16	13	20	13	14	15	16	41	26	32	12	16	16	32	19	39	14	344	15	85	333	14	13	428	135	162	334	11	211	13	13	11	12	15	13	36	20	14	13	13	13	130	16	14	82	14	21	14	21	17	49	12	11
01:00:14	17	13	11	37	15	38	31	44	24	70	18	46	13	13	12	15	15	11	13	11	13	20	13	23	18	12	14	279	196	137	279	84	355	454	14	35	12	14	12	18	16	15	16	16	16	15	15	14	17	14	43	25	32	13	15	14	31	19	40	14	321	13	73	357	17	15	550	162	177	338	11	224	11	13	12	12	15	12	36	23	14	13	11	12	137	19	13	82	15	19	13	27	17	48	11	11
01:10:16	16	12	14	45	16	43	37	54	25	78	18	53	14	13	14	19	15	12	13	11	13	20	14	23	22	15	13	302	209	155	305	90	385	476	15	33	14	12	16	18	17	14	21	18	14	17	14	14	17	14	46	27	39	12	14	18	35	16	41	14	343	12	81	393	15	13	531	158	186	343	10	233	11	14	13	11	14	12	36	24	15	13	14	10	142	16	16	89	15	21	13	26	18	54	12	12
01:20:18	18	16	11	45	13	44	35	46	29	76	19	53	13	13	13	20	15	14	15	12	14	19	13	24	20	13	17	329	225	174	335	98	406	480	15	31	15	11	14	17	18	17	18	18	14	21	15	12	16	12	50	29	35	12	16	19	35	17	43	15	343	13	78	400	17	14	515	195	204	371	12	256	10	14	14	12	15	12	38	23	14	14	12	10	148	19	15	94	15	20	14	23	17	56	10	12
01:30:20	20	14	13	48	12	52	39	60	28	78	25	62	16	15	14	22	13	13	15	14	13	25	14	24	19	12	12	355	231	194	358	106	444	479	16	41	13	13	16	18	19	20	19	19	13	16	18	13	19	15	52	31	38	13	15	19	37	15	45	14	369	12	101	461	17	13	572	193	220	350	11	279	12	13	12	13	15	12	38	23	14	13	13	13	163	20	15	96	16	24	13	23	13	58	12	13
