Time	A1	A2	A3	A4	A5	A6	A7	B1	B2	B3	B4	B5	B6	B7	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	E1	E2	E3	E4	E5	E6	E7	F1	F2	F3	F4	F5	F6	F7	G1	G2	G3	G4	G5	G6	G7	G8	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10
0:08:37	29	31	30	41	34	48	42	43	27	35	46	28	29	32	93	79	76	90	77	91	90	87	94	96	86	74	85	86	83	79	101	73	93	64	120	105	84	106	90	88	97	28	21	32	30	11	20	27	41	23	27	25	28	16	31	40	776	740	705	715	748	726	727	766	728	728	731	760	762	724	740	708	772	761	782	766
0:18:37	43	66	45	35	52	48	55	53	46	56	51	48	52	54	110	102	111	111	116	105	116	112	132	120	102	102	101	105	112	118	104	125	123	118	111	107	88	99	108	101	103	41	28	25	26	26	28	32	27	29	24	12	22	24	30	37	1104	1117	1044	1031	1061	1053	1113	1058	1109	1103	1128	1037	1028	1036	987	985	1129	1124	1152	1093
0:28:37	72	65	82	66	66	62	61	58	70	62	60	71	53	61	133	130	132	155	158	154	139	160	142	167	140	150	142	146	152	174	151	154	155	140	102	118	111	97	84	80	99	23	30	26	28	18	25	16	28	35	31	15	27	32	8	16	1614	1571	1505	1489	1482	1559	1644	1572	1621	1610	1573	1530	1524	1473	1440	1455	1525	1571	1654	1445
0:38:37	95	77	77	71	87	72	75	81	62	67	69	81	73	84	146	166	187	203	217	198	183	193	209	176	168	161	168	212	186	218	205	184	207	186	127	107	93	111	93	107	93	24	41	12	22	26	32	32	14	34	22	28	12	17	33	23	1941	2020	1952	1973	1963	1987	2021	2012	2060	1974	1982	1945	1929	1910	1890	1860	1919	1974	2059	1851
0:48:37	63	71	71	82	97	87	86	73	75	85	78	83	101	94	172	195	201	259	257	273	246	234	246	225	173	171	208	251	255	260	276	229	251	226	111	120	119	110	108	102	110	27	23	13	29	32	34	33	36	33	26	29	24	33	26	30	2308	2346	2364	2328	2344	2344	2366	2316	2413	2318	2312	2262	2277	2282	2189	2276	2275	2291	2364	2187
0:58:37	90	106	87	84	104	91	107	89	85	84	83	108	90	104	173	193	259	323	331	337	296	289	289	278	190	191	227	316	293	327	297	285	286	270	110	114	104	88	100	108	120	37	17	35	15	19	36	46	29	24	27	32	28	25	35	16	2551	2609	2603	2621	2622	2587	2656	2643	2730	2581	2644	2558	2524	2516	2503	2560	2470	2542	2590	2407
1:08:37	87	97	100	104	98	114	91	102	91	100	91	93	89	97	176	209	296	372	370	381	332	360	345	286	189	200	269	388	369	397	365	339	343	303	115	133	111	121	113	109	107	22	19	27	29	23	33	29	35	26	23	34	38	24	36	24	2788	2914	2886	2845	2884	2856	2881	2842	2941	2754	2902	2777	2814	2792	2687	2787	2860	2771	2831	2545
1:18:37	87	104	95	109	104	93	97	112	102	82	99	113	106	121	196	223	341	453	447	447	400	415	386	339	192	213	321	444	422	455	415	383	409	344	103	127	98	118	105	96	84	18	27	37	28	32	8	18	20	26	29	29	23	18	36	21	3101	3149	3150	3146	3122	3094	3092	3069	3039	2899	3087	3035	2982	3035	2993	3024	2938	3048	2996	2730
1:28:37	97	114	92	104	104	105	102	104	110	98	98	104	103	121	186	232	419	535	537	570	478	488	461	364	217	207	384	535	484	534	493	463	491	397	114	132	110	125	85	96	114	27	26	28	32	29	27	35	35	35	28	19	29	22	25	33	3259	3407	3373	3382	3327	3369	3380	3307	3340	3134	3355	3285	3244	3260	3197	3345	3439	3247	3257	2893
1:38:37	104	107	108	114	109	119	106	109	110	109	94	90	99	111	207	249	482	676	626	667	555	588	533	413	200	226	457	664	592	653	586	537	571	444	118	111	111	111	118	104	103	29	22	21	32	29	32	28	28	39	26	23	33	42	31	22	3559	3655	3596	3600	3546	3632	3632	3520	3540	3278	3680	3493	3540	3549	3435	3573	3431	3489	3422	3098
