Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
0:08:37	46	30	45	31	43	34	42	26	10	21	40	26	36	42	33	28	45	41	23	27	327	305	329	297	303	320	303	327	287	290	87	46	69	45	68	67	52	78	41	43	25	23	23	19	27	33	19	24	15	41	386	395	411	379	377	403	413	406	396	413
0:18:37	44	51	52	53	48	64	57	52	75	51	76	49	65	63	72	46	74	54	73	71	612	584	589	591	552	597	553	598	612	612	86	66	79	74	109	90	81	78	80	98	28	48	40	41	36	39	39	47	60	42	760	669	718	702	699	690	691	678	710	723
0:28:37	94	106	86	91	108	97	93	99	111	101	131	116	114	111	140	101	114	129	125	141	1040	1027	998	990	1000	1015	962	1026	1037	1040	141	148	109	132	142	145	163	148	134	173	82	88	76	84	89	70	71	84	85	76	1238	1131	1086	1161	1057	1093	1129	1131	1132	1120
0:38:37	131	122	132	151	155	150	154	129	149	134	193	154	164	183	196	213	214	199	219	221	1466	1438	1449	1356	1410	1408	1458	1436	1456	1447	187	173	141	222	205	225	216	241	215	239	103	92	129	136	146	134	110	115	108	169	1635	1544	1481	1526	1545	1509	1522	1495	1513	1486
0:48:37	125	146	143	190	184	192	182	179	188	170	223	212	216	280	278	274	300	305	283	324	1830	1820	1798	1783	1747	1778	1789	1773	1789	1791	232	211	211	304	313	313	323	322	313	314	123	126	136	158	175	184	161	195	166	177	1950	1868	1805	1888	1880	1845	1839	1817	1835	1808
0:58:37	164	164	203	221	263	248	224	226	233	238	272	237	251	368	390	376	385	386	391	404	2107	2122	2094	2027	2054	2046	2071	2027	2024	2013	220	230	231	465	424	396	410	415	415	406	146	157	175	220	220	224	240	232	231	222	2246	2095	2097	2178	2136	2046	2103	2075	2097	2024
1:08:37	171	172	218	274	271	264	276	269	275	275	277	263	303	496	508	495	529	487	528	543	2360	2331	2305	2290	2248	2311	2269	2318	2241	2185	257	226	291	583	582	587	582	561	537	549	138	146	207	287	271	292	302	288	290	274	2480	2351	2296	2421	2346	2286	2355	2252	2291	2158
1:18:37	182	185	253	335	350	371	346	347	339	315	290	274	326	610	686	623	665	660	685	682	2573	2574	2620	2544	2520	2525	2477	2446	2474	2347	252	234	343	830	761	755	787	736	748	656	143	174	289	360	342	360	378	352	327	328	2745	2576	2558	2660	2490	2528	2539	2504	2443	2315
1:28:37	179	175	303	427	435	437	420	384	394	370	299	308	375	765	803	781	830	818	839	813	2836	2843	2842	2803	2681	2767	2700	2641	2686	2437	268	243	375	1078	1031	988	978	930	934	847	173	177	323	463	383	423	435	442	440	394	3017	2815	2794	2923	2743	2719	2777	2658	2629	2435
1:38:37	182	178	405	528	512	543	506	499	510	421	322	316	402	860	955	915	944	957	981	1002	3064	3094	3137	3033	2926	2996	2972	2782	2843	2597	235	264	479	1358	1277	1262	1233	1183	1228	1052	186	213	354	547	499	562	534	517	511	425	3239	3068	3056	3146	2917	2904	2973	2864	2821	2587
1:48:37	196	211	448	640	596	637	627	555	599	496	297	341	388	991	1102	1073	1090	1117	1081	1137	3358	3340	3321	3329	3097	3277	3159	3029	3058	2653	257	266	555	1669	1599	1545	1545	1464	1531	1261	191	197	446	667	562	684	662	661	638	536	3473	3295	3241	3369	3179	3199	3230	3100	3054	2698
1:58:37	199	201	522	709	741	754	738	669	696	587	320	309	408	1098	1271	1169	1248	1272	1287	1311	3609	3570	3621	3569	3358	3556	3479	3284	3342	2813	279	243	597	2044	1956	1864	1814	1754	1796	1467	161	210	497	767	714	787	779	793	749	606	3748	3542	3506	3690	3473	3426	3520	3387	3275	2825
2:08:37	176	211	574	827	840	877	863	772	825	672	320	333	396	1210	1401	1284	1384	1425	1437	1510	3883	3885	3837	3846	3621	3900	3797	3534	3577	2933	286	262	635	2345	2296	2237	2156	2054	2135	1706	194	196	536	907	819	948	943	888	886	721	3930	3810	3761	3915	3728	3744	3748	3619	3478	3048
2:18:37	181	216	637	907	933	981	1010	904	990	808	336	305	426	1305	1523	1408	1487	1642	1575	1706	4122	4065	4093	4172	3891	4052	4028	3788	3813	3109	287	276	659	2635	2619	2592	2535	2352	2499	1941	162	193	596	1001	925	1067	1059	1070	1024	818	4187	4094	3982	4262	4005	3999	4019	3883	3755	3149
2:28:37	194	237	706	1019	1094	1094	1146	1046	1085	902	305	338	419	1452	1706	1513	1590	1828	1740	1897	4427	4286	4319	4439	4201	4396	4380	4072	4150	3313	294	269	665	2967	2940	2832	2847	2711	2791	2296	190	193	592	1154	1075	1201	1199	1180	1107	958	4448	4331	4262	4552	4275	4308	4396	4160	4093	3373
2:38:37	211	210	795	1127	1217	1253	1298	1184	1262	987	333	356	431	1565	1860	1714	1715	1965	1853	2056	4630	4604	4555	4716	4436	4780	4699	4352	4438	3446	275	287	717	3243	3287	3169	3187	2944	3138	2523	191	195	628	1260	1171	1349	1332	1357	1309	1109	4794	4576	4535	4828	4675	4557	4639	4518	4335	3554
